country_release,language,filming_location,year_release,director_gender,director_country,director_year_birth,company_city,founded,company_type,actor_education,actor_gender,actor_nationality,roletype,actor_year_birth
USA,MULTILINGUAL,USA,0.829,M,USA,0.702,SANTA_MONICA,0.727,PRODUCTION_&_DISTRIBUTION,COMP-SCNDRY,MALE,AMERICAN,DETECTIVE,0.617
JAPAN,BILINGUAL,JAPAN,0.895,M,USA,0.702,BURBANK,0.061,FILM_PRODUCTION,COMP-SCNDRY,MALE,AMERICAN,AGENT,0.675
JAPAN,BILINGUAL,JAPAN,0.895,M,USA,0.702,BURBANK,0.061,FILM_PRODUCTION,COMP-SCNDRY,MALE,JAPANESE,SAMURAI,0.65
USA,ENGLISH,USA,0.829,M,ENGLAND,0.617,BURBANK,0.727,FILM_PRODUCTION,COMP-SCNDRY,MALE,AMERICAN,LAWYER,0.725
USA,ENGLISH,USA,0.829,M,ENGLAND,0.617,BURBANK,0.727,FILM_PRODUCTION,HIGHER,MALE,AMERICAN,VILLAIN,0.408
USA,MULTILINGUAL,SLOVAKIA,0.868,M,IRELAND,0.894,LOS_ANGELES,0.222,FILM_PRODUCTION,HIGHER,MALE,AMERICAN,PILOT,0.725
USA,MULTILINGUAL,SLOVAKIA,0.868,M,IRELAND,0.894,LOS_ANGELES,0.222,FILM_PRODUCTION,HIGHER,MALE,AMERICAN,VILLAIN,0.408
USA,BILINGUAL,USA,0.724,M,ENGLAND,0.617,LOS_ANGELES,0,PRODUCTION_&_DISTRIBUTION,COMP-SCNDRY,MALE,AMERICAN,AGENT,0.675
USA,BILINGUAL,USA,0.724,M,ENGLAND,0.617,LOS_ANGELES,0,PRODUCTION_&_DISTRIBUTION,INCOMP-SCNDRY,FEMALE,AMERICAN,DOCTOR,0.717
USA,BILINGUAL,USA,0.724,M,ENGLAND,0.617,LOS_ANGELES,0,PRODUCTION_&_DISTRIBUTION,HIGHER,MALE,AMERICAN,ARMY_OFFICER,0.417
USA,ENGLISH,USA,0.737,M,ENGLAND,0.617,LOS_ANGELES,0.687,PRODUCTION_&_DISTRIBUTION,COMP-SCNDRY,MALE,AMERICAN,DETECTIVE,0.617
USA,ENGLISH,USA,0.737,M,ENGLAND,0.617,LOS_ANGELES,0.687,PRODUCTION_&_DISTRIBUTION,COMP-SCNDRY,MALE,AMERICAN,SPORTSMAN,0.658
USA,ENGLISH,USA,0.632,M,ENGLAND,0.564,LOS_ANGELES,0.121,FILM_PRODUCTION,COMP-SCNDRY,MALE,AMERICAN,ARMY_OFFICER,0.425
USA,ENGLISH,USA,0.632,M,ENGLAND,0.564,LOS_ANGELES,0.121,FILM_PRODUCTION,HIGHER,MALE,AMERICAN,ARMY_OFFICER,0.392
USA,ENGLISH,USA,0.776,M,ENGLAND,0.564,LOS_ANGELES,0,PRODUCTION_&_DISTRIBUTION,COMP-SCNDRY,MALE,AMERICAN,AGENT,0.675
USA,ENGLISH,USA,0.776,M,ENGLAND,0.564,LOS_ANGELES,0,PRODUCTION_&_DISTRIBUTION,HIGHER,MALE,AMERICAN,DETECTIVE,0.525
USA,ENGLISH,USA,0.776,M,ENGLAND,0.564,LOS_ANGELES,0,PRODUCTION_&_DISTRIBUTION,HIGHER,FEMALE,AMERICAN,SPORTSMAN,0.742
USA,BILINGUAL,USA,0.763,M,ENGLAND,0.564,BURBANK,0.061,FILM_PRODUCTION,HIGHER,FEMALE,AMERICAN,WIFE,0.692
USA,BILINGUAL,USA,0.763,M,ENGLAND,0.564,BURBANK,0.061,FILM_PRODUCTION,HIGHER,MALE,IRISH,HERO,0.575
USA,BILINGUAL,USA,0.763,M,ENGLAND,0.564,BURBANK,0.061,FILM_PRODUCTION,HIGHER,MALE,AMERICAN,ARTIST,0.683
USA,MULTILINGUAL,USA,0.816,M,ENGLAND,0.606,LOS_ANGELES,0.222,FILM_PRODUCTION,HIGHER,MALE,AMERICAN,SHERIFF,0.542
USA,MULTILINGUAL,USA,0.816,M,ENGLAND,0.606,LOS_ANGELES,0.222,FILM_PRODUCTION,COMP-SCNDRY,FEMALE,AMERICAN,DOCTOR,0.733
USA,MULTILINGUAL,USA,0.816,M,ENGLAND,0.606,LOS_ANGELES,0.222,FILM_PRODUCTION,COMP-SCNDRY,FEMALE,AMERICAN,BIOLOGIST,0.842
USA,MULTILINGUAL,UK,0.605,M,USA,0.638,LOS_ANGELES,0,PRODUCTION_&_DISTRIBUTION,COMP-SCNDRY,MALE,AMERICAN,PROFESSOR,0.508
USA,MULTILINGUAL,UK,0.605,M,USA,0.638,LOS_ANGELES,0,PRODUCTION_&_DISTRIBUTION,COMP-SCNDRY,FEMALE,AMERICAN,GIRLFRIEND,0.583
USA,ENGLISH,USA,0.645,M,USA,0.638,LOS_ANGELES,0,PRODUCTION_&_DISTRIBUTION,COMP-SCNDRY,MALE,AMERICAN,PROFESSOR,0.508
USA,ENGLISH,USA,0.645,M,USA,0.638,LOS_ANGELES,0,PRODUCTION_&_DISTRIBUTION,COMP-SCNDRY,FEMALE,AMERICAN,GIRLFRIEND,0.6
CANADA,BILINGUAL,USA,0.711,M,ENGLAND,0.543,LOS_ANGELES,0,PRODUCTION_&_DISTRIBUTION,COMP-SCNDRY,MALE,AMERICAN,POLITICIAN,0.525
CANADA,BILINGUAL,USA,0.711,M,ENGLAND,0.543,LOS_ANGELES,0,PRODUCTION_&_DISTRIBUTION,HIGHER,MALE,CUBAN,POLICE_OFFICER,0.625
CANADA,BILINGUAL,USA,0.711,M,ENGLAND,0.543,LOS_ANGELES,0,PRODUCTION_&_DISTRIBUTION,COMP-SCNDRY,FEMALE,AMERICAN,GIRLFRIEND,0.6
USA,ENGLISH,MOROCCO,0.868,M,ENGLAND,0.543,LOS_ANGELES,0.121,FILM_PRODUCTION,COMP-SCNDRY,MALE,AMERICAN,SOLDIER,0.808
USA,ENGLISH,MOROCCO,0.868,M,ENGLAND,0.543,LOS_ANGELES,0.121,FILM_PRODUCTION,COMP-SCNDRY,MALE,SCOTISH,JEDI,0.75
USA,ENGLISH,MOROCCO,0.868,M,ENGLAND,0.543,LOS_ANGELES,0.121,FILM_PRODUCTION,HIGHER,MALE,AMERICAN,SOLDIER,0.667
USA,MULTILINGUAL,FRANCE,0.882,M,FRANCE,0.926,PARIS,0.646,FILM_PRODUCTION,COMP-SCNDRY,MALE,ENGLISH,WORKER,0.717
USA,MULTILINGUAL,FRANCE,0.882,M,FRANCE,0.926,PARIS,0.646,FILM_PRODUCTION,COMP-SCNDRY,MALE,AMERICAN,CRIMINAL,0.758
FRANCE,MULTILINGUAL,FRANCE,0.921,M,FRANCE,0.926,PARIS,0.646,FILM_PRODUCTION,COMP-SCNDRY,MALE,ENGLISH,WORKER,0.717
FRANCE,MULTILINGUAL,FRANCE,0.921,M,FRANCE,0.926,PARIS,0.646,FILM_PRODUCTION,INCOMP-SCNDRY,FEMALE,AMERICAN,MOTHER,0.775
FRANCE,MULTILINGUAL,HUNGARY,0.961,M,FRANCE,0.926,PARIS,0.646,FILM_PRODUCTION,COMP-SCNDRY,MALE,ENGLISH,WORKER,0.717
FRANCE,MULTILINGUAL,HUNGARY,0.961,M,FRANCE,0.926,PARIS,0.646,FILM_PRODUCTION,HIGHER,MALE,AMERICAN,CRIMINAL,0.65
USA,ENGLISH,USA,0.763,M,USA,0.468,LOS_ANGELES,0.121,FILM_PRODUCTION,COMP-SCNDRY,MALE,AMERICAN,CHIEF,0.408
USA,ENGLISH,USA,0.763,M,USA,0.468,LOS_ANGELES,0.121,FILM_PRODUCTION,HIGHER,MALE,AMERICAN,PRISONER,0.6
USA,ENGLISH,USA,0.763,M,USA,0.468,LOS_ANGELES,0.121,FILM_PRODUCTION,HIGHER,FEMALE,AMERICAN,POLICE_OFFICER,0.608
USA,ENGLISH,ENGLAND,0.724,M,USA,0.468,BURBANK,0.061,FILM_PRODUCTION,COMP-SCNDRY,MALE,AMERICAN,CHIEF,0.408
USA,ENGLISH,ENGLAND,0.724,M,USA,0.468,BURBANK,0.061,FILM_PRODUCTION,COMP-SCNDRY,MALE,AMERICAN,ACTOR,0.592
USA,MULTILINGUAL,USA,0.776,M,CANADA,0.723,LOS_ANGELES,0.222,FILM_PRODUCTION,INCOMP-SCNDRY,MALE,AUSTRIAN,CYBORG,0.55
USA,MULTILINGUAL,USA,0.776,M,CANADA,0.723,LOS_ANGELES,0.222,FILM_PRODUCTION,COMP-SCNDRY,FEMALE,AMERICAN,WIFE,0.642
USA,MULTILINGUAL,USA,0.776,M,CANADA,0.723,LOS_ANGELES,0.222,FILM_PRODUCTION,HIGHER,MALE,AMERICAN,AGENT,0.65
USA,MULTILINGUAL,USA,0.776,M,CANADA,0.723,LOS_ANGELES,0.222,FILM_PRODUCTION,HIGHER,MALE,AMERICAN,COMMANDER,0.617
FRANCE,MULTILINGUAL,USA,0.961,M,USA,0.638,LOS_ANGELES,0,PRODUCTION_&_DISTRIBUTION,COMP-SCNDRY,MALE,AMERICAN,PROFESSOR,0.508
FRANCE,MULTILINGUAL,USA,0.961,M,USA,0.638,LOS_ANGELES,0,PRODUCTION_&_DISTRIBUTION,HIGHER,FEMALE,AUSTRALIAN,ACTRESS,0.733
USA,MULTILINGUAL,USA,0.711,M,USA,0.638,LOS_ANGELES,0,PRODUCTION_&_DISTRIBUTION,COMP-SCNDRY,MALE,AMERICAN,PROFESSOR,0.508
USA,MULTILINGUAL,USA,0.711,M,USA,0.638,LOS_ANGELES,0,PRODUCTION_&_DISTRIBUTION,COMP-SCNDRY,MALE,SCOTISH,POLICE_OFFICER,0.408
JAPAN,ENGLISH,USA,0.921,M,USA,0.638,LOS_ANGELES,0,PRODUCTION_&_DISTRIBUTION,COMP-SCNDRY,MALE,AMERICAN,AGENT,0.675
JAPAN,ENGLISH,USA,0.921,M,USA,0.638,LOS_ANGELES,0,PRODUCTION_&_DISTRIBUTION,COMP-SCNDRY,FEMALE,AMERICAN,DAUGHTER,0.942
JAPAN,ENGLISH,USA,0.921,M,USA,0.638,LOS_ANGELES,0,PRODUCTION_&_DISTRIBUTION,HIGHER,MALE,AMERICAN,PRISONER,0.642
USA,BILINGUAL,USA,0.816,M,USA,0.638,LOS_ANGELES,0,FILM_DISTRIBUTION,COMP-SCNDRY,MALE,AMERICAN,SCIENTIST,0.592
USA,BILINGUAL,USA,0.816,M,USA,0.638,LOS_ANGELES,0,FILM_DISTRIBUTION,HIGHER,FEMALE,AMERICAN,DOCTOR,0.658
USA,ENGLISH,USA,0.789,M,USA,0.564,BURBANK,0.061,FILM_PRODUCTION,COMP-SCNDRY,MALE,AMERICAN,CRIMINAL,0.65
USA,ENGLISH,USA,0.789,M,USA,0.564,BURBANK,0.061,FILM_PRODUCTION,HIGHER,MALE,AMERICAN,SHERIFF,0.542
USA,ENGLISH,USA,0.789,M,USA,0.564,BURBANK,0.061,FILM_PRODUCTION,COMP-SCNDRY,MALE,CANADIAN,DETECTIVE,0.675
USA,ENGLISH,USA,0.789,M,USA,0.564,BURBANK,0.061,FILM_PRODUCTION,INCOMP-SCNDRY,FEMALE,AMERICAN,DOCTOR,0.717
USA,ENGLISH,USA,0.816,M,USA,0.564,BURBANK,0.061,FILM_PRODUCTION,HIGHER,MALE,AMERICAN,CRIMINAL,0.667
USA,ENGLISH,USA,0.816,M,USA,0.564,BURBANK,0.061,FILM_PRODUCTION,HIGHER,MALE,AMERICAN,HERO,0.742
USA,ENGLISH,USA,0.816,M,USA,0.564,BURBANK,0.061,FILM_PRODUCTION,INCOMP-SCNDRY,MALE,AUSTRIAN,CYBORG,0.55
USA,ENGLISH,USA,0.816,M,USA,0.564,BURBANK,0.061,FILM_PRODUCTION,COMP-SCNDRY,FEMALE,AMERICAN,ASSASSIN,0.742
USA,ENGLISH,NEW_ZEALAND,0.921,M,NEW_ZEALAND,0.798,LOS_ANGELES,0,FILM_DISTRIBUTION,COMP-SCNDRY,FEMALE,ENGLISH,ACTRESS,0.725
USA,ENGLISH,NEW_ZEALAND,0.921,M,NEW_ZEALAND,0.798,LOS_ANGELES,0,FILM_DISTRIBUTION,COMP-SCNDRY,MALE,AMERICAN,DIRECTOR,0.733
USA,ENGLISH,NEW_ZEALAND,0.921,M,NEW_ZEALAND,0.798,LOS_ANGELES,0,FILM_DISTRIBUTION,COMP-SCNDRY,MALE,ENGLISH,ACTOR,0.875
CANADA,MULTILINGUAL,USA,0.895,M,USA,0.819,SANTA_MONICA,0.677,FILM_DISTRIBUTION,COMP-SCNDRY,FEMALE,AMERICAN,ASSASSIN,0.742
CANADA,MULTILINGUAL,USA,0.895,M,USA,0.819,SANTA_MONICA,0.677,FILM_DISTRIBUTION,HIGHER,MALE,AMERICAN,ASSASSIN,0.458
CANADA,MULTILINGUAL,USA,0.895,M,USA,0.819,SANTA_MONICA,0.677,FILM_DISTRIBUTION,COMP-SCNDRY,MALE,AMERICAN,ASSASSIN,0.633
CANADA,MULTILINGUAL,USA,0.895,M,USA,0.819,SANTA_MONICA,0.677,FILM_DISTRIBUTION,HIGHER,FEMALE,AMERICAN,ASSASSIN,0.658
CANADA,MULTILINGUAL,USA,0.908,M,USA,0.819,SANTA_MONICA,0.677,FILM_DISTRIBUTION,COMP-SCNDRY,FEMALE,AMERICAN,ASSASSIN,0.742
CANADA,MULTILINGUAL,USA,0.908,M,USA,0.819,SANTA_MONICA,0.677,FILM_DISTRIBUTION,HIGHER,MALE,AMERICAN,ASSASSIN,0.458
CANADA,MULTILINGUAL,USA,0.908,M,USA,0.819,SANTA_MONICA,0.677,FILM_DISTRIBUTION,COMP-SCNDRY,MALE,AMERICAN,ASSASSIN,0.633
CANADA,MULTILINGUAL,USA,0.908,M,USA,0.819,SANTA_MONICA,0.677,FILM_DISTRIBUTION,HIGHER,FEMALE,AMERICAN,ASSASSIN,0.658
USA,ENGLISH,USA,0.921,M,USA,0.819,NEW_YORK_CITY,0.808,PRODUCTION_&_DISTRIBUTION,COMP-SCNDRY,MALE,AMERICAN,DETECTIVE,0.617
USA,ENGLISH,USA,0.921,M,USA,0.819,NEW_YORK_CITY,0.808,PRODUCTION_&_DISTRIBUTION,COMP-SCNDRY,FEMALE,AMERICAN,WIFE,0.8
USA,ENGLISH,USA,0.921,M,USA,0.819,NEW_YORK_CITY,0.808,PRODUCTION_&_DISTRIBUTION,HIGHER,MALE,ENGLISH,ASSASSIN,0.692
USA,ENGLISH,USA,0.921,M,USA,0.819,NEW_YORK_CITY,0.808,PRODUCTION_&_DISTRIBUTION,COMP-SCNDRY,FEMALE,AMERICAN,GIRLFRIEND,0.833
NEW_ZEALAND,MULTILINGUAL,USA,0.895,M,NEW_ZEALAND,0.798,BURBANK,0.556,PRODUCTION_&_DISTRIBUTION,COMP-SCNDRY,MALE,AMERICAN,HOBBIT,0.833
NEW_ZEALAND,MULTILINGUAL,USA,0.895,M,NEW_ZEALAND,0.798,BURBANK,0.556,PRODUCTION_&_DISTRIBUTION,HIGHER,MALE,ENGLISH,ELF,0.8
NEW_ZEALAND,MULTILINGUAL,USA,0.895,M,NEW_ZEALAND,0.798,BURBANK,0.556,PRODUCTION_&_DISTRIBUTION,HIGHER,MALE,ENGLISH,WIZARD,0.483
NEW_ZEALAND,MULTILINGUAL,USA,0.895,M,NEW_ZEALAND,0.798,BURBANK,0.556,PRODUCTION_&_DISTRIBUTION,HIGHER,MALE,AMERICAN,HERO,0.642
USA,ENGLISH,USA,0.329,M,USA,0.447,LOS_ANGELES,0.434,FILM_PRODUCTION,HIGHER,MALE,AMERICAN,SLAVE,0.292
USA,ENGLISH,USA,0.329,M,USA,0.447,LOS_ANGELES,0.434,FILM_PRODUCTION,COMP-SCNDRY,MALE,ENGLISH,SENATOR,0.217
USA,ENGLISH,USA,0.684,M,USA,0.468,BURBANK,0.061,FILM_PRODUCTION,HIGHER,MALE,AMERICAN,POLICE_OFFICER,0.625
USA,ENGLISH,USA,0.684,M,USA,0.468,BURBANK,0.061,FILM_PRODUCTION,HIGHER,MALE,AMERICAN,POLICE_OFFICER,0.542
USA,ENGLISH,USA,0.684,M,USA,0.468,BURBANK,0.061,FILM_PRODUCTION,COMP-SCNDRY,FEMALE,AMERICAN,WIFE,0.475
USA,ENGLISH,USA,0.684,M,USA,0.468,BURBANK,0.061,FILM_PRODUCTION,HIGHER,MALE,AMERICAN,DETECTIVE,0.525
USA,ENGLISH,USA,0.711,M,USA,0.468,BURBANK,0.061,FILM_PRODUCTION,HIGHER,MALE,AMERICAN,POLICE_OFFICER,0.625
USA,ENGLISH,USA,0.711,M,USA,0.468,BURBANK,0.061,FILM_PRODUCTION,HIGHER,MALE,AMERICAN,POLICE_OFFICER,0.542
USA,ENGLISH,USA,0.711,M,USA,0.468,BURBANK,0.061,FILM_PRODUCTION,COMP-SCNDRY,FEMALE,AMERICAN,WIFE,0.475
USA,ENGLISH,USA,0.711,M,USA,0.468,BURBANK,0.061,FILM_PRODUCTION,COMP-SCNDRY,MALE,AMERICAN,DEALER,0.517
USA,ENGLISH,USA,0.711,M,USA,0.468,BURBANK,0.061,FILM_PRODUCTION,COMP-SCNDRY,MALE,ENGLISH,CRIMINAL,0.392
USA,ENGLISH,USA,0.75,M,USA,0.468,BURBANK,0.061,FILM_PRODUCTION,HIGHER,MALE,AMERICAN,POLICE_OFFICER,0.625
USA,ENGLISH,USA,0.75,M,USA,0.468,BURBANK,0.061,FILM_PRODUCTION,HIGHER,MALE,AMERICAN,POLICE_OFFICER,0.542
USA,ENGLISH,USA,0.75,M,USA,0.468,BURBANK,0.061,FILM_PRODUCTION,COMP-SCNDRY,FEMALE,AMERICAN,WIFE,0.475
USA,ENGLISH,USA,0.75,M,USA,0.468,BURBANK,0.061,FILM_PRODUCTION,COMP-SCNDRY,MALE,AMERICAN,DEALER,0.517
USA,ENGLISH,USA,0.75,M,USA,0.468,BURBANK,0.061,FILM_PRODUCTION,HIGHER,FEMALE,AMERICAN,POLICE_OFFICER,0.608
USA,MULTILINGUAL,CANADA,0.829,M,USA,0.468,BURBANK,0.061,FILM_PRODUCTION,HIGHER,MALE,AMERICAN,POLICE_OFFICER,0.625
USA,MULTILINGUAL,CANADA,0.829,M,USA,0.468,BURBANK,0.061,FILM_PRODUCTION,HIGHER,MALE,AMERICAN,POLICE_OFFICER,0.542
USA,MULTILINGUAL,CANADA,0.829,M,USA,0.468,BURBANK,0.061,FILM_PRODUCTION,COMP-SCNDRY,FEMALE,AMERICAN,WIFE,0.475
USA,MULTILINGUAL,CANADA,0.829,M,USA,0.468,BURBANK,0.061,FILM_PRODUCTION,COMP-SCNDRY,MALE,AMERICAN,DEALER,0.517
USA,MULTILINGUAL,CANADA,0.829,M,USA,0.468,BURBANK,0.061,FILM_PRODUCTION,HIGHER,FEMALE,AMERICAN,POLICE_OFFICER,0.608
USA,MULTILINGUAL,CANADA,0.829,M,USA,0.468,BURBANK,0.061,FILM_PRODUCTION,COMP-SCNDRY,MALE,CHINESE,ASSASSIN,0.683
USA,BILINGUAL,USA,0.921,M,USA,0.84,BURBANK,0.798,FILM_PRODUCTION,HIGHER,MALE,AMERICAN,SPORTSMAN,0.683
USA,BILINGUAL,USA,0.921,M,USA,0.84,BURBANK,0.798,FILM_PRODUCTION,COMP-SCNDRY,FEMALE,AMERICAN,WIFE,0.783
USA,BILINGUAL,USA,0.921,M,USA,0.84,BURBANK,0.798,FILM_PRODUCTION,COMP-SCNDRY,MALE,AMERICAN,AGENT,0.742
USA,BILINGUAL,USA,0.921,M,USA,0.84,BURBANK,0.798,FILM_PRODUCTION,HIGHER,FEMALE,AMERICAN,WIFE,0.792
USA,BILINGUAL,USA,0.921,M,USA,0.84,BURBANK,0.798,FILM_PRODUCTION,COMP-SCNDRY,MALE,AMERICAN,SCIENTIST,0.65
USA,MULTILINGUAL,FRANCE,0.882,M,USA,0.84,LOS_ANGELES,0,FILM_DISTRIBUTION,HIGHER,MALE,AMERICAN,WORKER,0.742
USA,MULTILINGUAL,FRANCE,0.882,M,USA,0.84,LOS_ANGELES,0,FILM_DISTRIBUTION,HIGHER,MALE,AMERICAN,CHIEF,0.583
USA,MULTILINGUAL,FRANCE,0.882,M,USA,0.84,LOS_ANGELES,0,FILM_DISTRIBUTION,HIGHER,MALE,ENGLISH,ASSASSIN,0.692
USA,MULTILINGUAL,FRANCE,0.882,M,USA,0.84,LOS_ANGELES,0,FILM_DISTRIBUTION,COMP-SCNDRY,FEMALE,AMERICAN,ASSISTANT,0.833
RUSSIA,MULTILINGUAL,USA,0.934,M,USA,0.926,SANTA_MONICA,0.838,FILM_PRODUCTION,COMP-SCNDRY,MALE,ENGLISH,WORKER,0.717
RUSSIA,MULTILINGUAL,USA,0.934,M,USA,0.926,SANTA_MONICA,0.838,FILM_PRODUCTION,COMP-SCNDRY,FEMALE,AMERICAN,GIRLFRIEND,0.792
RUSSIA,MULTILINGUAL,USA,0.934,M,USA,0.926,SANTA_MONICA,0.838,FILM_PRODUCTION,HIGHER,MALE,AMERICAN,DOCTOR,0.625
GERMANY,ENGLISH,USA,0.974,M,USA,0.926,SANTA_MONICA,0.838,FILM_PRODUCTION,COMP-SCNDRY,MALE,ENGLISH,WORKER,0.717
GERMANY,ENGLISH,USA,0.974,M,USA,0.926,SANTA_MONICA,0.838,FILM_PRODUCTION,COMP-SCNDRY,FEMALE,AMERICAN,GIRLFRIEND,0.792
GERMANY,ENGLISH,USA,0.974,M,USA,0.926,SANTA_MONICA,0.838,FILM_PRODUCTION,HIGHER,MALE,AMERICAN,DOCTOR,0.625
BRAZIL,MULTILINGUAL,AUSTRALIA,0.974,M,AUSTRALIA,0.809,LOS_ANGELES,0.222,FILM_PRODUCTION,HIGHER,MALE,AUSTRALIAN,MUTANT,0.725
BRAZIL,MULTILINGUAL,AUSTRALIA,0.974,M,AUSTRALIA,0.809,LOS_ANGELES,0.222,FILM_PRODUCTION,INCOMP-SCNDRY,FEMALE,AMERICAN,DOCTOR,0.717
BRAZIL,MULTILINGUAL,AUSTRALIA,0.974,M,AUSTRALIA,0.809,LOS_ANGELES,0.222,FILM_PRODUCTION,COMP-SCNDRY,MALE,AUSTRALIAN,WARRIOR,0.7
WALES,BILINGUAL,WALES,0.987,M,ENGLAND,0.543,LOS_ANGELES,0,FILM_DISTRIBUTION,COMP-SCNDRY,MALE,NEW_ZEALANDER,HERO,0.692
WALES,BILINGUAL,WALES,0.987,M,ENGLAND,0.543,LOS_ANGELES,0,FILM_DISTRIBUTION,HIGHER,FEMALE,AUSTRALIAN,ACTRESS,0.733
UK,MULTILINGUAL,MOROCCO,0.921,M,ENGLAND,0.543,LOS_ANGELES,0.222,FILM_PRODUCTION,HIGHER,MALE,ENGLISH,ELF,0.8
